Id,Date,Time,Temperature,Stabilized,Total[ppm],Total[cpm],K[%],K[cpm],U[ppm],U[cpm],Th[ppm],Th[cpm],Dose,Dose units,Latitude,Longitude,Altitude,Section,Height,notes,
86,8118,1/27/2019,10:00:50,23.2,1,209.9,1734,2.4,146.8,2.3,21.2,8.5,15.6,7.7, uR/h,0,0,0,1,21.3,shale
87,8119,1/27/2019,10:00:50,23.2,1,175.2,1447.4,2.2,139.5,2.9,25.4,9.7,17.7,8, uR/h,0,0,0,1,21.55,sand bipartite roughly 20cm
88,8120,1/27/2019,10:00:50,22.9,1,211.2,1744.3,2.6,153.1,3.2,21.2,5.3,10.4,7.4, uR/h,0,0,0,1,21.8,shale
89,8121,1/27/2019,10:00:50,23.1,1,255.2,2107.5,2.8,170.9,3.5,26.5,8.3,15.6,8.9, uR/h,0,0,0,1,22.05,shale
90,8122,1/27/2019,10:00:50,22.9,1,243.7,2013.2,3.6,201.2,2.2,19.1,7.8,14.6,9, uR/h,0,0,0,1,22.3,shale
91,8123,1/27/2019,10:00:50,22.8,1,227.4,1878.2,2.9,169.8,1,20.2,12.9,23,8.9, uR/h,0,0,0,1,22.55,shale under sand
92,8124,1/27/2019,10:00:50,22.7,1,239.2,1975.4,3,183.4,3.9,27.5,7.6,14.6,9.3, uR/h,0,0,0,1,22.8,shale
93,8125,1/27/2019,10:00:50,22.5,1,249.2,2058.1,3.2,193.8,2.4,29.6,15.2,27.1,10.9, uR/h,0,0,0,1,23.05,shale
94,8126,1/27/2019,10:00:50,18.8,1,225.8,1864.7,2.8,162.5,1.3,20.2,11.7,20.9,8.5, uR/h,0,0,0,1,23.05,shale (repeat of 125) AUGUST7
95,8127,1/27/2019,10:00:50,19.3,1,222.7,1839.6,2.8,171.9,2.9,27.5,11.5,20.9,9.5, uR/h,0,0,0,1,23.3,shale right above leutite
96,8128,1/27/2019,10:00:50,19.7,0,235.5,1945.2,3.2,190.7,3.4,24.4,7,13.6,9.1, uR/h,0,0,0,1,23.55,shale
97,8129,1/27/2019,10:00:50,19.9,1,166.5,1375.3,1.6,100.8,1.5,16,7.5,13.5,5.7, uR/h,0,0,0,1,23.8,sand right before B beds
98,8130,1/27/2019,10:00:50,20.3,1,263.4,2175.5,3.1,183.4,1.3,22.3,13.5,24,9.6, uR/h,0,0,0,1,24.05,shale
99,8131,1/27/2019,10:00:50,20.5,1,244.9,2022.8,3,178.2,1.6,22.3,12.2,21.9,9.3, uR/h,0,0,0,1,24.3,shale
100,8132,1/27/2019,10:00:50,20.8,1,209.7,1732,2.1,138.5,5,29.6,5.2,10.4,7.8, uR/h,0,0,0,1,24.55,sand (bed B1?)
101,8133,1/27/2019,10:00:50,20.9,1,142.6,1177.6,1.9,112.3,1.9,15,5,9.4,5.5, uR/h,0,0,0,1,24.8,sand (bed B3)
102,8134,1/27/2019,10:00:50,21.2,1,161.9,1337.6,1.7,106,2.3,19.1,6.8,12.5,6, uR/h,0,0,0,1,25.05,sand (bed B4)
103,8135,1/27/2019,10:00:50,21.3,1,270.8,2236.3,3.3,196,2.6,26.5,12.1,21.9,10.2, uR/h,0,0,0,1,25.3,shale
104,8136,1/27/2019,10:00:50,21.6,1,239.1,1974.5,3.2,199.1,4.7,31.7,8.1,15.6,10.2, uR/h,0,0,0,1,25.55,shale
105,8137,1/27/2019,10:00:50,21.9,1,183.3,1514.3,1.8,111.3,1.7,19.1,9.3,16.7,6.5, uR/h,0,0,0,1,25.8,sand (bed B5)
106,8138,1/27/2019,10:00:50,22.1,1,248.2,2050,3.2,189.7,2.8,24.4,9.6,17.7,9.4, uR/h,0,0,0,1,26.05,shale
107,8139,1/27/2019,10:00:50,22.1,1,272.5,2250.8,3.3,197,1,26.5,17.8,31.3,11, uR/h,0,0,0,1,26.3,shale
108,8140,1/27/2019,10:00:50,22.3,1,243.4,2010.1,2.9,173,2.7,24.4,9.7,17.7,8.9, uR/h,0,0,0,1,26.55,shale
109,8141,1/27/2019,10:00:50,22.4,1,251.2,2074.9,3.4,203.3,3.6,27.5,8.8,16.7,10, uR/h,0,0,0,1,26.8,shale
110,8142,1/27/2019,10:00:50,22.4,1,181.7,1500.7,1.8,124.8,4.3,27.5,5.9,11.5,7.2, uR/h,0,0,0,1,27.05,sand
111,8143,1/27/2019,10:00:50,22.5,1,218.3,1803,2.9,174,2.4,24.4,10.9,19.8,9.2, uR/h,0,0,0,1,27.3,"shale, before small sand and bigger sand"
112,8144,1/27/2019,10:00:50,22.5,1,111.8,923.6,0.9,59,0.4,9.7,6.5,11.5,3.6, uR/h,0,0,0,1,27.55,sand
113,8145,1/27/2019,10:00:50,22.8,1,105.9,874.6,0.8,64.2,2.6,20.2,6.3,11.5,4.8, uR/h,0,0,0,1,27.8,"sand, top of 144 sand"
114,8146,1/27/2019,10:00:50,22.8,1,144,1189.2,1.5,97.7,1.7,17,7.5,13.5,5.7, uR/h,0,0,0,1,28,"sand, 20cm above previous measurement"
115,8147,1/27/2019,10:00:50,22.8,1,266.5,2200.8,3.5,204.3,2.3,25.4,12.1,21.9,10.3, uR/h,0,0,0,1,28.25,shale
116,8148,1/27/2019,10:00:50,22.8,0,155.4,1283.2,2,132.1,2.8,26.4,11,19.8,8.1, uR/h,0,0,0,1,28.5,sand
117,8149,1/27/2019,10:00:50,22.5,1,164.4,1357.5,2,115.4,0.1,11.8,9.5,16.7,6, uR/h,0,0,0,1,28.75,"shale, between 2 sands"
